Camden South llc,Matthew Silver,3213,1,FALSE
Evil Norgan,Sam Fontenot,23,2,FALSE
Twenty Five Corp,Vance Lee,234,3,TRUE
Slow Slaw,Steve Delgado,165,4,TRUE
Evil Norgan,Jennifer Miller,65589,5,FALSE
Evil Norgan,Horstmeyer Shirk,83342,65,TRUE
Evil Norgan,Horstmeyer Shirk,423412,7,TRUE
Dr. Boss Man ltd.,Sam the man,43786,8,TRUE
One Two Three,David Sliver,697,9,FALSE
One Two Three,David Sliver,689,1,TRUE
One Two Three,David Sliver,5634,2,TRUE
Dr. Boss Man ltd.,Sam the man,34,3,FALSE
Evil Norgan,Jennifer Miller,574,4,TRUE
Evil Norgan,Cloby Schaneville,978,5,TRUE
Slow Slaw,Carter Mike,876,3,FALSE
Camden South llc,Matthew Silver,4345,7,TRUE
